n,m,height,block_d,block_type,Lambda,Out,In,Delta,DeltaMertens
2,2,1,1,uncertified,+0.6931471806,7.213475e-01,2.423797e-01,-4.789678e-01,-4.246810e-01
2,4,2,1,uncertified,+0.6931471806,1.803369e-01,7.159846e-02,-1.087384e-01,-8.159502e-02
2,6,1,1,uncertified,+1.7917594692,9.301844e-02,3.746473e-02,-5.555371e-02,-3.745810e-02
2,8,3,1,uncertified,+0.6931471806,6.011229e-02,2.404096e-02,-3.607133e-02,-2.249963e-02
2,10,1,2,uncertified,+2.3025850930,4.342945e-02,1.712103e-02,-2.630842e-02,-1.545106e-02
2,12,2,2,uncertified,+0.0000000000,3.353580e-02,1.301621e-02,-2.051959e-02,-1.147179e-02
2,14,1,2,uncertified,+2.6390573296,2.706594e-02,1.035687e-02,-1.670907e-02,-8.953808e-03
2,16,4,2,uncertified,+0.6931471806,2.254211e-02,8.497232e-03,-1.404488e-02,-7.259027e-03
2,18,1,2,uncertified,+2.8903717579,1.922090e-02,7.145998e-03,-1.207491e-02,-6.043037e-03
2,20,2,2,uncertified,+0.0000000000,1.669041e-02,6.108950e-03,-1.058146e-02,-5.152779e-03
2,22,1,2,uncertified,+3.0910424534,1.470525e-02,5.329397e-03,-9.375851e-03,-4.440687e-03
2,24,3,2,uncertified,+0.0000000000,1.311075e-02,4.692459e-03,-8.418290e-03,-3.894389e-03
2,26,1,2,uncertified,+3.2580965380,1.180491e-02,4.168280e-03,-7.636631e-03,-3.460722e-03
2,28,2,2,uncertified,+0.0000000000,1.071792e-02,3.736310e-03,-6.981605e-03,-3.103976e-03
2,30,1,2,uncertified,+3.4011973817,9.800470e-03,3.377281e-03,-6.423189e-03,-2.804069e-03
2,32,5,2,uncertified,+0.6931471806,9.016844e-03,3.073010e-03,-5.943834e-03,-2.550909e-03
2,34,1,2,uncertified,+3.5263605246,8.340544e-03,2.826223e-03,-5.514321e-03,-2.320979e-03
2,36,2,2,uncertified,-1.7917594692,7.751536e-03,2.585669e-03,-5.165868e-03,-2.149934e-03
2,38,1,2,uncertified,+3.6375861597,7.234410e-03,2.392329e-03,-4.842081e-03,-1.984880e-03
2,40,3,2,uncertified,+0.0000000000,6.777126e-03,2.233481e-03,-4.543645e-03,-1.829305e-03
2,42,1,2,uncertified,+3.7376696183,6.370152e-03,2.074274e-03,-4.295878e-03,-1.710792e-03
2,44,2,2,uncertified,+0.0000000000,6.005849e-03,1.937614e-03,-4.068235e-03,-1.600653e-03
2,46,1,2,uncertified,+3.8286413965,5.678027e-03,1.814225e-03,-3.863802e-03,-1.503506e-03
2,48,4,2,uncertified,+0.0000000000,5.381620e-03,1.700325e-03,-3.681295e-03,-1.419345e-03
2,50,1,2,uncertified,+3.9120230054,5.112444e-03,1.604749e-03,-3.507695e-03,-1.336223e-03
2,52,2,2,uncertified,+0.0000000000,4.867017e-03,1.514547e-03,-3.352470e-03,-1.264515e-03
2,54,1,2,uncertified,+3.9889840466,4.642415e-03,1.428807e-03,-3.213608e-03,-1.202985e-03
2,56,3,2,uncertified,+0.0000000000,4.436170e-03,1.368017e-03,-3.068153e-03,-1.129338e-03
2,58,1,2,uncertified,+4.0604430105,4.246182e-03,1.294365e-03,-2.951817e-03,-1.079858e-03
2,60,2,2,uncertified,-4.0943445622,4.070656e-03,1.232000e-03,-2.838656e-03,-1.029096e-03
2,62,1,2,uncertified,+4.1271343850,3.908046e-03,1.168259e-03,-2.739787e-03,-9.885999e-04
2,64,6,2,uncertified,+0.6931471806,3.757018e-03,1.114664e-03,-2.642354e-03,-9.458917e-04
2,66,1,2,uncertified,+4.1896547420,3.616411e-03,1.070482e-03,-2.545930e-03,-9.008749e-04
2,68,2,2,uncertified,+0.0000000000,3.485213e-03,1.023648e-03,-2.461565e-03,-8.648938e-04
2,70,1,2,uncertified,+4.2484952420,3.362535e-03,9.798033e-04,-2.382732e-03,-8.316800e-04
2,72,3,2,uncertified,+0.0000000000,3.247597e-03,9.444306e-04,-2.303167e-03,-7.951996e-04
2,74,1,2,uncertified,+4.3040650932,3.139709e-03,9.055501e-04,-2.234159e-03,-7.669482e-04
2,76,2,2,uncertified,+0.0000000000,3.038260e-03,8.746404e-04,-2.163620e-03,-7.350196e-04
2,78,1,2,uncertified,+4.3567088267,2.942706e-03,8.398551e-04,-2.102851e-03,-7.108813e-04
2,80,4,2,uncertified,+0.0000000000,2.852561e-03,8.061427e-04,-2.046419e-03,-6.892485e-04
2,82,1,2,uncertified,+4.4067192473,2.767393e-03,7.749520e-04,-1.992440e-03,-6.683720e-04
2,84,2,2,uncertified,-4.4308167988,2.686810e-03,7.510029e-04,-1.935807e-03,-6.432638e-04
2,86,1,2,uncertified,+4.4543472963,2.610463e-03,7.228281e-04,-1.887634e-03,-6.251505e-04
2,88,3,2,uncertified,+0.0000000000,2.538035e-03,6.959680e-04,-1.842067e-03,-6.082756e-04
2,90,1,2,uncertified,+4.4998096703,2.469240e-03,6.759221e-04,-1.793318e-03,-5.869446e-04
2,92,2,2,uncertified,+0.0000000000,2.403820e-03,6.514301e-04,-1.752390e-03,-5.722418e-04
2,94,1,2,uncertified,+4.5432947823,2.341538e-03,6.389020e-04,-1.702636e-03,-5.475976e-04
2,96,5,2,uncertified,+0.0000000000,2.282181e-03,6.163064e-04,-1.665874e-03,-5.348989e-04
2,98,1,2,uncertified,+4.5849674787,2.225552e-03,6.000432e-04,-1.625508e-03,-5.176143e-04
2,100,2,3,smooth,-2.3025850930,2.171472e-03,5.792143e-04,-1.592258e-03,-5.065219e-04
2,102,1,3,smooth,+4.6249728133,2.119779e-03,5.671909e-04,-1.552588e-03,-4.881412e-04
2,104,3,3,smooth,+0.0000000000,2.070322e-03,5.478306e-04,-1.522491e-03,-4.785143e-04
2,106,1,3,smooth,+4.6634390941,2.022962e-03,5.344896e-04,-1.488473e-03,-4.641934e-04
2,108,2,3,smooth,-4.6821312271,1.977574e-03,5.164643e-04,-1.461109e-03,-4.557980e-04
2,110,1,3,smooth,+4.7004803658,1.934038e-03,5.043524e-04,-1.429686e-03,-4.426530e-04
2,112,4,3,smooth,+0.0000000000,1.892248e-03,4.874894e-04,-1.404759e-03,-4.353515e-04
2,114,1,3,smooth,+4.7361984484,1.852104e-03,4.764645e-04,-1.375639e-03,-4.232388e-04
2,116,2,3,smooth,+0.0000000000,1.813511e-03,4.658808e-04,-1.347631e-03,-4.116510e-04
2,118,1,3,smooth,+4.7706846245,1.776386e-03,4.505555e-04,-1.325830e-03,-4.057148e-04
2,120,3,3,smooth,+0.0000000000,1.740647e-03,4.460583e-04,-1.294589e-03,-3.898086e-04
2,122,1,3,smooth,+4.8040210447,1.706221e-03,4.314608e-04,-1.274760e-03,-3.848124e-04
2,124,2,3,smooth,+0.0000000000,1.673038e-03,4.225089e-04,-1.250530e-03,-3.749358e-04
2,126,1,3,smooth,+4.8362819070,1.641035e-03,4.138864e-04,-1.227149e-03,-3.654532e-04
2,128,7,3,smooth,+0.6931471806,1.610151e-03,4.055761e-04,-1.204575e-03,-3.563432e-04
2,130,1,3,smooth,+4.8675344505,1.580329e-03,3.925123e-04,-1.187817e-03,-3.526354e-04
2,132,2,3,smooth,-4.8828019226,1.551519e-03,3.848723e-04,-1.166646e-03,-3.441188e-04
2,134,1,3,smooth,+4.8978398000,1.523669e-03,3.774964e-04,-1.146173e-03,-3.359216e-04
2,136,3,3,smooth,+0.0000000000,1.496735e-03,3.653372e-04,-1.131398e-03,-3.330621e-04
2,138,1,3,smooth,+4.9272536852,1.470673e-03,3.585401e-04,-1.112132e-03,-3.253671e-04
2,140,2,3,smooth,-4.9416424226,1.445442e-03,3.519678e-04,-1.093474e-03,-3.179482e-04
2,142,1,3,smooth,+4.9558270576,1.421005e-03,3.456098e-04,-1.075395e-03,-3.107920e-04
2,144,4,3,smooth,+0.0000000000,1.397325e-03,3.344961e-04,-1.062829e-03,-3.088454e-04
2,146,1,3,smooth,+4.9836066217,1.374369e-03,3.286199e-04,-1.045749e-03,-3.020943e-04
2,148,2,3,smooth,+0.0000000000,1.352105e-03,3.229274e-04,-1.029178e-03,-2.955723e-04
2,150,1,3,smooth,+5.0106352941,1.330503e-03,3.174104e-04,-1.013093e-03,-2.892687e-04
2,152,3,3,smooth,+0.0000000000,1.309535e-03,3.071416e-04,-1.002393e-03,-2.880933e-04
2,154,1,3,smooth,+5.0369526024,1.289174e-03,3.020307e-04,-9.871429e-04,-2.821194e-04
2,156,2,3,smooth,-5.0498560072,1.269394e-03,2.970713e-04,-9.723226e-04,-2.763378e-04
2,158,1,3,smooth,+5.0625950330,1.250172e-03,2.914510e-04,-9.587209e-04,-2.715461e-04
2,160,5,3,smooth,+0.0000000000,1.231485e-03,2.867880e-04,-9.446969e-04,-2.661118e-04
2,162,1,3,smooth,+5.0875963352,1.213312e-03,2.774188e-04,-9.358928e-04,-2.656852e-04
2,164,2,3,smooth,+0.0000000000,1.195632e-03,2.730882e-04,-9.225433e-04,-2.605090e-04
2,166,1,3,smooth,+5.1119877884,1.178425e-03,2.688781e-04,-9.095473e-04,-2.554893e-04
2,168,3,3,smooth,+0.0000000000,1.161675e-03,2.695638e-04,-8.921112e-04,-2.458397e-04
2,170,1,3,smooth,+5.1357984371,1.145363e-03,2.655124e-04,-8.798505e-04,-2.411821e-04
2,172,2,3,smooth,+0.0000000000,1.129473e-03,2.615698e-04,-8.679027e-04,-2.366607e-04
2,174,1,3,smooth,+5.1590552992,1.113988e-03,2.529982e-04,-8.609899e-04,-2.370036e-04
2,176,4,3,smooth,+0.0000000000,1.098895e-03,2.493261e-04,-8.495688e-04,-2.326732e-04
2,178,1,3,smooth,+5.1817835503,1.084178e-03,2.457492e-04,-8.384292e-04,-2.284650e-04
2,180,2,3,smooth,-10.3859137018,1.069825e-03,2.422639e-04,-8.275612e-04,-2.243744e-04
2,182,1,3,smooth,+5.2040066871,1.055822e-03,2.388671e-04,-8.169551e-04,-2.203967e-04
2,184,3,3,smooth,+0.0000000000,1.042157e-03,2.355553e-04,-8.066019e-04,-2.165278e-04
2,186,1,3,smooth,+5.2257466737,1.028818e-03,2.276484e-04,-8.011700e-04,-2.174408e-04
2,188,2,3,smooth,+0.0000000000,1.015794e-03,2.245584e-04,-7.912361e-04,-2.137168e-04
2,190,1,3,smooth,+5.2470240722,1.003075e-03,2.215434e-04,-7.815314e-04,-2.100913e-04
2,192,6,3,smooth,+0.0000000000,9.906492e-04,2.186009e-04,-7.720483e-04,-2.065607e-04
2,194,1,3,smooth,+5.2678581591,9.785076e-04,2.157282e-04,-7.627794e-04,-2.031216e-04
2,196,2,3,smooth,-2.6390573296,9.666408e-04,2.129231e-04,-7.537177e-04,-1.997706e-04
2,198,1,3,smooth,+5.2882670307,9.550397e-04,2.101833e-04,-7.448565e-04,-1.965048e-04
2,200,3,3,smooth,+0.0000000000,9.436958e-04,2.075065e-04,-7.361893e-04,-1.933212e-04
2,202,1,3,smooth,+5.3082676974,9.326009e-04,2.003348e-04,-7.322661e-04,-1.947729e-04
2,204,2,3,smooth,-5.3181199938,9.217469e-04,1.978325e-04,-7.239145e-04,-1.916908e-04
2,206,1,3,smooth,+5.3278761688,9.111265e-04,1.953861e-04,-7.157404e-04,-1.886840e-04
2,208,4,3,smooth,+0.0000000000,9.007322e-04,1.929939e-04,-7.077383e-04,-1.857497e-04
2,210,1,3,smooth,+5.3471075307,8.905571e-04,1.906542e-04,-6.999030e-04,-1.828857e-04
2,212,2,3,smooth,+0.0000000000,8.805946e-04,1.883652e-04,-6.922294e-04,-1.800897e-04
2,214,1,3,smooth,+5.3659760150,8.708383e-04,1.861256e-04,-6.847127e-04,-1.773593e-04
2,216,3,3,smooth,+1.7917594692,8.612818e-04,1.839336e-04,-6.773482e-04,-1.746925e-04
2,218,1,3,smooth,+5.3844950628,8.519194e-04,1.772900e-04,-6.746294e-04,-1.765853e-04
2,220,2,3,smooth,-5.3936275464,8.427454e-04,1.752389e-04,-6.675064e-04,-1.739900e-04
2,222,1,3,smooth,+5.4026773819,8.337541e-04,1.732304e-04,-6.605237e-04,-1.714534e-04
2,224,5,3,smooth,+0.0000000000,8.249404e-04,1.712631e-04,-6.536773e-04,-1.689736e-04
2,226,1,3,smooth,+5.4205349993,8.162993e-04,1.693359e-04,-6.469633e-04,-1.665491e-04
2,228,2,3,smooth,-5.4293456290,8.078257e-04,1.674476e-04,-6.403781e-04,-1.641780e-04
2,230,1,3,smooth,+5.4380793089,7.995150e-04,1.655971e-04,-6.339179e-04,-1.618587e-04
2,232,3,3,smooth,+0.0000000000,7.913627e-04,1.637832e-04,-6.275795e-04,-1.595897e-04
2,234,1,3,smooth,+5.4553211154,7.833644e-04,1.620050e-04,-6.213593e-04,-1.573695e-04
2,236,2,3,smooth,+0.0000000000,7.755158e-04,1.602615e-04,-6.152544e-04,-1.551966e-04
2,238,1,3,smooth,+5.4722706737,7.678130e-04,1.585516e-04,-6.092614e-04,-1.530697e-04
2,240,4,3,smooth,+0.0000000000,7.602520e-04,1.525110e-04,-6.077410e-04,-1.553509e-04
2,242,1,3,smooth,+5.4889377262,7.528290e-04,1.509096e-04,-6.019194e-04,-1.532681e-04
2,244,2,3,smooth,+0.0000000000,7.455403e-04,1.493383e-04,-5.962020e-04,-1.512282e-04
2,246,1,3,smooth,+5.5053315359,7.383825e-04,1.477965e-04,-5.905861e-04,-1.492299e-04
2,248,3,3,smooth,+0.0000000000,7.313522e-04,1.462832e-04,-5.850690e-04,-1.472721e-04
2,250,1,3,smooth,+5.5214609179,7.244459e-04,1.447977e-04,-5.796482e-04,-1.453538e-04
2,252,2,3,smooth,-11.0588581750,7.176607e-04,1.433393e-04,-5.743214e-04,-1.434737e-04
2,254,1,3,smooth,+5.5373342670,7.109934e-04,1.419074e-04,-5.690860e-04,-1.416308e-04
2,256,8,3,smooth,+0.6931471806,7.044409e-04,1.405011e-04,-5.639398e-04,-1.398241e-04
2,258,1,3,smooth,+5.5529595849,6.980006e-04,1.391199e-04,-5.588807e-04,-1.380527e-04
2,260,2,3,smooth,-5.5606816310,6.916695e-04,1.377630e-04,-5.539065e-04,-1.363156e-04
2,262,1,3,smooth,+5.5683445038,6.854450e-04,1.364300e-04,-5.490150e-04,-1.346119e-04
2,264,3,3,smooth,+0.0000000000,6.793245e-04,1.308487e-04,-5.484758e-04,-1.372121e-04
2,266,1,3,smooth,+5.5834963088,6.733055e-04,1.296005e-04,-5.437050e-04,-1.355335e-04
2,268,2,3,smooth,+0.0000000000,6.673854e-04,1.283737e-04,-5.390118e-04,-1.338863e-04
2,270,1,3,smooth,+5.5984219590,6.615621e-04,1.271678e-04,-5.343943e-04,-1.322698e-04
2,272,4,3,smooth,+0.0000000000,6.558331e-04,1.259822e-04,-5.298509e-04,-1.306832e-04
2,274,1,3,smooth,+5.6131281064,6.501963e-04,1.248165e-04,-5.253798e-04,-1.291257e-04
2,276,2,3,smooth,-5.6204008657,6.446495e-04,1.236702e-04,-5.209793e-04,-1.275966e-04
2,278,1,3,smooth,+5.6276211137,6.391906e-04,1.246530e-04,-5.145376e-04,-1.239850e-04
2,280,3,3,smooth,+0.0000000000,6.338176e-04,1.235257e-04,-5.102918e-04,-1.225289e-04
2,282,1,3,smooth,+5.6419070709,6.285285e-04,1.224169e-04,-5.061116e-04,-1.210988e-04
2,284,2,3,smooth,+0.0000000000,6.233214e-04,1.213259e-04,-5.019955e-04,-1.196940e-04
2,286,1,3,smooth,+5.6559918108,6.181946e-04,1.202525e-04,-4.979421e-04,-1.183141e-04
2,288,5,3,smooth,+0.0000000000,6.131461e-04,1.191961e-04,-4.939500e-04,-1.169583e-04
2,290,1,3,smooth,+5.6698809230,6.081743e-04,1.181564e-04,-4.900179e-04,-1.156261e-04
2,292,2,3,smooth,+0.0000000000,6.032774e-04,1.171331e-04,-4.861443e-04,-1.143169e-04
2,294,1,3,smooth,+5.6835797673,5.984539e-04,1.161257e-04,-4.823282e-04,-1.130301e-04
2,296,3,3,smooth,+0.0000000000,5.937021e-04,1.110092e-04,-4.826929e-04,-1.158902e-04
2,298,1,3,smooth,+5.6970934865,5.890205e-04,1.100663e-04,-4.789542e-04,-1.146132e-04
2,300,2,3,smooth,-11.4075649493,5.844075e-04,1.091379e-04,-4.752696e-04,-1.133576e-04
2,302,1,3,smooth,+5.7104270174,5.798618e-04,1.082235e-04,-4.716382e-04,-1.121229e-04
2,304,4,3,smooth,+0.0000000000,5.753818e-04,1.073230e-04,-4.680588e-04,-1.109087e-04
2,306,1,3,smooth,+5.7235851020,5.709662e-04,1.064359e-04,-4.645303e-04,-1.097145e-04
2,308,2,3,smooth,-5.7300997830,5.666137e-04,1.055621e-04,-4.610516e-04,-1.085399e-04
2,310,1,3,smooth,+5.7365722975,5.623230e-04,1.047012e-04,-4.576218e-04,-1.073843e-04
2,312,3,3,smooth,+0.0000000000,5.580927e-04,1.038529e-04,-4.542398e-04,-1.062474e-04
2,314,1,3,smooth,+5.7493929859,5.539217e-04,1.022047e-04,-4.517170e-04,-1.059412e-04
2,316,2,3,smooth,+0.0000000000,5.498087e-04,1.013871e-04,-4.484215e-04,-1.048341e-04
2,318,1,3,smooth,+5.7620513828,5.457525e-04,1.005814e-04,-4.451711e-04,-1.037446e-04
2,320,6,3,smooth,+0.0000000000,5.417521e-04,9.978721e-05,-4.419649e-04,-1.026723e-04
2,322,1,3,smooth,+5.7745515455,5.378063e-04,9.900432e-05,-4.388020e-04,-1.016168e-04
2,324,2,3,smooth,-8.6711152737,5.339140e-04,9.823249e-05,-4.356815e-04,-1.005777e-04
2,326,1,3,smooth,+5.7868973814,5.300741e-04,9.747151e-05,-4.326026e-04,-9.955471e-05
2,328,3,3,smooth,+0.0000000000,5.262857e-04,9.672116e-05,-4.295646e-04,-9.854745e-05
2,330,1,3,smooth,+5.7990926545,5.225478e-04,9.598122e-05,-4.265666e-04,-9.755559e-05
2,332,2,3,smooth,+0.0000000000,5.188593e-04,9.525149e-05,-4.236078e-04,-9.657882e-05
2,334,1,3,smooth,+5.8111409930,5.152193e-04,9.053210e-05,-4.246872e-04,-9.961648e-05
2,336,4,3,smooth,+0.0000000000,5.116269e-04,8.985113e-05,-4.217758e-04,-9.863998e-05
2,338,1,3,smooth,+5.8230458955,5.080812e-04,8.917940e-05,-4.189018e-04,-9.767802e-05
2,340,2,3,smooth,-5.8289456176,5.045812e-04,8.851672e-05,-4.160645e-04,-9.673031e-05
2,342,1,3,smooth,+5.8348107371,5.011262e-04,8.786292e-05,-4.132633e-04,-9.579656e-05
2,344,3,3,smooth,+0.0000000000,4.977153e-04,8.721783e-05,-4.104975e-04,-9.487648e-05
2,346,1,3,smooth,+5.8464387751,4.943477e-04,8.658128e-05,-4.077664e-04,-9.396981e-05
2,348,2,3,smooth,-5.8522024798,4.910225e-04,8.595310e-05,-4.050694e-04,-9.307626e-05
2,350,1,3,smooth,+5.8579331545,4.877391e-04,8.533315e-05,-4.024059e-04,-9.219558e-05
2,352,5,3,smooth,+0.0000000000,4.844966e-04,8.472126e-05,-3.997753e-04,-9.132751e-05
2,354,1,3,smooth,+5.8692969131,4.812942e-04,8.411728e-05,-3.971770e-04,-9.047181e-05
2,356,2,3,smooth,+0.0000000000,4.781314e-04,8.352107e-05,-3.946103e-04,-8.962823e-05
2,358,1,3,smooth,+5.8805329864,4.750073e-04,8.293249e-05,-3.920748e-04,-8.879654e-05
2,360,3,3,smooth,+5.8861040315,4.719213e-04,8.235139e-05,-3.895699e-04,-8.797650e-05
2,362,1,3,smooth,+5.8916442118,4.688727e-04,8.177764e-05,-3.870950e-04,-8.716790e-05
2,364,2,3,smooth,-5.8971538676,4.658608e-04,8.121110e-05,-3.846497e-04,-8.637051e-05
2,366,1,3,smooth,+5.9026333334,4.628850e-04,8.065164e-05,-3.822334e-04,-8.558412e-05
2,368,4,3,smooth,+0.0000000000,4.599447e-04,8.009914e-05,-3.798455e-04,-8.480852e-05
2,370,1,3,smooth,+5.9135030056,4.570392e-04,7.955347e-05,-3.774857e-04,-8.404351e-05
2,372,2,3,smooth,-5.9188938543,4.541680e-04,7.901452e-05,-3.751535e-04,-8.328889e-05
2,374,1,3,smooth,+5.9242557974,4.513304e-04,7.848215e-05,-3.728483e-04,-8.254446e-05
2,376,3,3,smooth,+0.0000000000,4.485259e-04,7.795626e-05,-3.705697e-04,-8.181004e-05
2,378,1,3,smooth,+5.9348941956,4.457540e-04,7.743674e-05,-3.683172e-04,-8.108543e-05
2,380,2,3,smooth,-5.9401712527,4.430140e-04,7.692346e-05,-3.660905e-04,-8.037047e-05
2,382,1,3,smooth,+5.9454206086,4.403054e-04,7.641633e-05,-3.638891e-04,-7.966497e-05
2,384,7,3,smooth,+0.0000000000,4.376278e-04,7.591524e-05,-3.617126e-04,-7.896877e-05
2,386,1,3,smooth,+5.9558373695,4.349806e-04,7.159612e-05,-3.633845e-04,-8.210564e-05
2,388,2,3,smooth,+0.0000000000,4.323632e-04,7.113077e-05,-3.612325e-04,-8.140355e-05
2,390,1,3,smooth,+5.9661467391,4.297753e-04,7.067089e-05,-3.591044e-04,-8.071052e-05
2,392,3,3,smooth,+0.0000000000,4.272163e-04,7.021637e-05,-3.569999e-04,-8.002642e-05
2,394,1,3,smooth,+5.9763509093,4.246857e-04,6.976712e-05,-3.549186e-04,-7.935106e-05
2,396,2,3,smooth,-11.9628284225,4.221832e-04,6.932307e-05,-3.528601e-04,-7.868431e-05
2,398,1,3,smooth,+5.9864520053,4.197082e-04,6.888412e-05,-3.508240e-04,-7.802600e-05
2,400,4,3,smooth,+0.0000000000,4.172603e-04,6.845020e-05,-3.488101e-04,-7.737600e-05
2,402,1,3,smooth,+5.9964520886,4.148390e-04,6.802120e-05,-3.468178e-04,-7.673416e-05
2,404,2,3,smooth,+0.0000000000,4.124440e-04,6.759707e-05,-3.448469e-04,-7.610034e-05
2,406,1,3,smooth,+6.0063531596,4.100748e-04,6.717771e-05,-3.428971e-04,-7.547440e-05
2,408,3,3,smooth,+0.0000000000,4.077311e-04,6.676305e-05,-3.409680e-04,-7.485620e-05
2,410,1,3,smooth,+6.0161571597,4.054123e-04,6.635302e-05,-3.390593e-04,-7.424562e-05
2,412,2,3,smooth,+0.0000000000,4.031183e-04,6.594753e-05,-3.371707e-04,-7.364252e-05
2,414,1,3,smooth,+6.0258659738,4.008484e-04,6.554652e-05,-3.353019e-04,-7.304679e-05
2,416,5,3,smooth,+0.0000000000,3.986025e-04,6.514992e-05,-3.334526e-04,-7.245829e-05
2,418,1,3,smooth,+6.0354814325,3.963801e-04,6.475766e-05,-3.316224e-04,-7.187690e-05
2,420,2,3,smooth,-18.1207641338,3.941808e-04,6.436966e-05,-3.298111e-04,-7.130251e-05
2,422,1,3,smooth,+6.0450053140,3.920043e-04,6.398587e-05,-3.280185e-04,-7.073500e-05
2,424,3,3,smooth,+0.0000000000,3.898503e-04,6.360621e-05,-3.262441e-04,-7.017426e-05
2,426,1,3,smooth,+6.0544393463,3.877185e-04,6.323062e-05,-3.244878e-04,-6.962017e-05
2,428,2,3,smooth,+0.0000000000,3.856084e-04,6.285905e-05,-3.227493e-04,-6.907264e-05
2,430,1,3,smooth,+6.0637852087,3.835198e-04,6.249142e-05,-3.210283e-04,-6.853154e-05
2,432,4,3,smooth,+0.0000000000,3.814523e-04,6.212767e-05,-3.193246e-04,-6.799679e-05
2,434,1,3,smooth,+6.0730445341,3.794057e-04,6.176776e-05,-3.176379e-04,-6.746827e-05
2,436,2,3,smooth,+0.0000000000,3.773796e-04,6.141161e-05,-3.159679e-04,-6.694588e-05
2,438,1,3,smooth,+6.0822189104,3.753737e-04,6.105918e-05,-3.143145e-04,-6.642954e-05
2,440,3,3,smooth,+0.0000000000,3.733878e-04,6.071041e-05,-3.126774e-04,-6.591914e-05
2,442,1,3,smooth,+6.0913098821,3.714215e-04,6.036524e-05,-3.110563e-04,-6.541458e-05
2,444,2,3,smooth,-6.0958245624,3.694746e-04,6.002362e-05,-3.094510e-04,-6.491578e-05
2,446,1,3,smooth,+6.1003189520,3.675468e-04,5.968550e-05,-3.078613e-04,-6.442265e-05
2,448,6,3,smooth,+0.0000000000,3.656377e-04,5.935082e-05,-3.062869e-04,-6.393510e-05
2,450,1,3,smooth,+6.1092475828,3.637473e-04,5.901953e-05,-3.047278e-04,-6.345304e-05
2,452,2,3,smooth,+0.0000000000,3.618751e-04,5.869160e-05,-3.031835e-04,-6.297638e-05
2,454,1,3,smooth,+6.1180971980,3.600210e-04,5.836696e-05,-3.016540e-04,-6.250505e-05
2,456,3,3,smooth,+0.0000000000,3.581846e-04,5.441591e-05,-3.037687e-04,-6.566861e-05
2,458,1,3,smooth,+6.1268691841,3.563657e-04,5.411700e-05,-3.022487e-04,-6.518841e-05
2,460,2,3,smooth,-6.1312264895,3.545641e-04,5.382106e-05,-3.007431e-04,-6.471347e-05
2,462,1,3,smooth,+6.1355648911,3.527796e-04,5.352805e-05,-2.992516e-04,-6.424372e-05
2,464,4,3,smooth,+0.0000000000,3.510119e-04,5.323792e-05,-2.977740e-04,-6.377909e-05
2,466,1,3,smooth,+6.1441856341,3.492607e-04,5.295063e-05,-2.963101e-04,-6.331949e-05
2,468,2,3,smooth,-12.2969365918,3.475259e-04,5.266615e-05,-2.948598e-04,-6.286486e-05
2,470,1,3,smooth,+6.1527326947,3.458073e-04,5.238444e-05,-2.934228e-04,-6.241511e-05
2,472,3,3,smooth,+0.0000000000,3.441045e-04,5.210544e-05,-2.919990e-04,-6.197018e-05
2,474,1,3,smooth,+6.1612073217,3.424174e-04,5.182914e-05,-2.905883e-04,-6.153000e-05
2,476,2,3,smooth,-6.1654178542,3.407458e-04,5.155549e-05,-2.891903e-04,-6.109449e-05
2,478,1,3,smooth,+6.1696107325,3.390895e-04,5.128445e-05,-2.878050e-04,-6.066358e-05
2,480,5,3,smooth,+0.0000000000,3.374483e-04,5.101599e-05,-2.864323e-04,-6.023722e-05
2,482,1,3,smooth,+6.1779441141,3.358219e-04,5.075007e-05,-2.850718e-04,-5.981533e-05
2,484,2,3,smooth,-3.0910424534,3.342102e-04,5.048666e-05,-2.837235e-04,-5.939786e-05
2,486,1,3,smooth,+6.1862086239,3.326130e-04,5.022572e-05,-2.823872e-04,-5.898473e-05
2,488,3,3,smooth,+0.0000000000,3.310300e-04,4.996723e-05,-2.810628e-04,-5.857588e-05
2,490,1,3,smooth,+6.1944053911,3.294612e-04,4.971114e-05,-2.797501e-04,-5.817126e-05
2,492,2,3,smooth,-6.1984787165,3.279063e-04,4.945743e-05,-2.784489e-04,-5.777080e-05
2,494,1,3,smooth,+6.2025355172,3.263652e-04,4.920606e-05,-2.771591e-04,-5.737444e-05
2,496,4,3,smooth,+0.0000000000,3.248376e-04,4.895700e-05,-2.758806e-04,-5.698214e-05
2,498,1,3,smooth,+6.2106000770,3.233234e-04,4.871023e-05,-2.746131e-04,-5.659382e-05
2,500,2,3,smooth,-6.2146080984,3.218224e-04,4.846571e-05,-2.733567e-04,-5.620944e-05
2,502,1,3,smooth,+6.2186001197,3.203345e-04,4.822341e-05,-2.721110e-04,-5.582893e-05
2,504,3,3,smooth,+6.2225762681,3.188594e-04,4.798330e-05,-2.708761e-04,-5.545226e-05
2,506,1,3,smooth,+6.2265366693,3.173971e-04,4.774536e-05,-2.696517e-04,-5.507935e-05
2,508,2,3,smooth,+0.0000000000,3.159473e-04,4.750955e-05,-2.684378e-04,-5.471017e-05
2,510,1,3,smooth,+6.2344107257,3.145100e-04,4.727585e-05,-2.672341e-04,-5.434466e-05
2,512,9,3,smooth,+0.6931471806,3.130849e-04,4.704424e-05,-2.660406e-04,-5.398277e-05
2,514,1,3,smooth,+6.2422232655,3.116719e-04,4.681468e-05,-2.648572e-04,-5.362445e-05
